year,make,model,trim,doors,type,mileage,price,cyl,dealer,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,VIN,Certified Pre-Owned,Accidents,Owners,Usage,Listed since,car_url
2008,Toyota,RAV4,Limited,4dr,SUV,200700,,4cyl Automatic,Auto Lux (23 mi away),Clean Title,No,No,No,No,JTMBD31V185172058,No,2 Accidents, 2 Owners, Personal use only,2024-02-09,https://www.edmunds.com/toyota/rav4/2008/vin/JTMBD31V185172058/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,22962,23528.0,4cyl Automatic,New Rochelle Hyundai (15 mi away),Clean Title,No,No,No,No,JTMP1RFV2MD077955,No,No accidents, 1 Owner, Taxi vehicle,2024-04-02,https://www.edmunds.com/toyota/rav4/2021/vin/JTMP1RFV2MD077955/?radius=25
Certified,2021,Toyota,RAV4,LE,4dr,21515,23995.0,4cyl Automatic,East Coast Toyota (4 mi away),Clean Title,No,No,No,No,2T3F1RFV7MC162662,Yes,No accidents, 2 Owners, Personal use,2023-12-20,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV7MC162662/?radius=25
2023,Toyota,RAV4,LE,4dr,SUV,22604,24050.0,4cyl Automatic,Yonkers Auto Gallery (12 mi away),Clean Title,No,No,No,No,2T3F1RFV6PC367720,No,No accidents, 1 Owner, Rental vehicle,2024-03-08,https://www.edmunds.com/toyota/rav4/2023/vin/2T3F1RFV6PC367720/?radius=25
2021,Toyota,RAV4,LE,4dr,SUV,25673,21995.0,4cyl Automatic,Paul Miller Toyota of West Caldwell (14 mi away),Clean Title,No,No,No,No,2T3F1RFV3MC174923,No,No accidents, 1 Owner, Personal use,2024-02-09,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV3MC174923/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,22528,25809.0,4cyl Automatic,Kia Of West Nyack (16 mi away),Clean Title,No,No,No,No,2T3P1RFV9MW140570,No,No accidents, 1 Owner, Personal use,2024-01-09,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV9MW140570/?radius=25
2020,Toyota,RAV4,LE,4dr,SUV,17102,22693.0,4cyl Automatic,Paramus Chevrolet (3 mi away),Clean Title,No,No,No,No,2T3F1RFV4LW132709,No,No accidents, 1 Owner, Personal use,2024-02-11,https://www.edmunds.com/toyota/rav4/2020/vin/2T3F1RFV4LW132709/?radius=25
2018,Toyota,RAV4,XLE,4dr,SUV,84298,14995.0,4cyl Automatic,Mazda of New Rochelle (15 mi away),Clean Title,No,No,No,No,2T3WFREV3JW489086,No,2 Accidents, 2 Owners, Personal use only,2023-11-07,https://www.edmunds.com/toyota/rav4/2018/vin/2T3WFREV3JW489086/?radius=25
2009,Toyota,RAV4,Sport,4dr,SUV,148622,7700.0,6cyl Automatic,Great Auto (3 mi away),Clean Title,No,No,No,No,2T3BK32V49W002498,No,1 Accident, 3 Owners, Personal use only,2024-02-23,https://www.edmunds.com/toyota/rav4/2009/vin/2T3BK32V49W002498/?radius=25
2014,Toyota,RAV4,LE,4dr,SUV,167875,8995.0,4cyl Automatic,Michael & Sons Auto Sales (2 mi away),Clean Title,No,No,No,No,2T3BFREV6EW165103,No,No accidents, 3 Owners, Personal use only,2024-01-16,https://www.edmunds.com/toyota/rav4/2014/vin/2T3BFREV6EW165103/?radius=25
2017,Toyota,RAV4,Limited,4dr,SUV,107767,16990.0,4cyl Automatic,Magic Auto Sales (2 mi away),Clean Title,No,No,No,No,2T3DFREV4HW577145,No,No accidents, 1 Owner, Personal use,2023-08-19,https://www.edmunds.com/toyota/rav4/2017/vin/2T3DFREV4HW577145/?radius=25
2014,Toyota,RAV4,LE,4dr,SUV,144184,9895.0,4cyl Automatic,Xcell Motors (7 mi away),Clean Title,No,No,No,No,JTMBFREV6ED075270,No,No accidents, 2 Owners, Personal use only,2024-03-31,https://www.edmunds.com/toyota/rav4/2014/vin/JTMBFREV6ED075270/?radius=25
2004,Toyota,RAV4,Base,4dr,SUV,190562,4477.0,4cyl Automatic,Imports Auto Sales (5 mi away),Clean Title,No,No,No,No,JTEHD20V740026806,No,No accidents, 6 Owners, Personal use,2024-04-03,https://www.edmunds.com/toyota/rav4/2004/vin/JTEHD20V740026806/?radius=25
2022,Toyota,RAV4,XLE,4dr,SUV,55251,22500.0,4cyl Automatic,NJ Used Cars Center (15 mi away),Clean Title,No,No,No,No,2T3W1RFVXNW210753,No,No accidents, 1 Owner, Personal use only,2024-03-01,https://www.edmunds.com/toyota/rav4/2022/vin/2T3W1RFVXNW210753/?radius=25
2018,Toyota,RAV4,XLE,4dr,SUV,107998,16699.0,4cyl Automatic,Dash Auto Gallery Inc (9 mi away),Clean Title,No,No,No,No,JTMRFREV4JD240614,No,No accidents, 4 Owners, Taxi vehicle,2023-11-23,https://www.edmunds.com/toyota/rav4/2018/vin/JTMRFREV4JD240614/?radius=25
2023,Toyota,RAV4,TRD,Off-Road,4dr,17080,36160.0,4cyl Automatic,Driveway (In-stock online),Clean Title,No,No,No,No,2T3S1RFV5PW335838,No,No accidents, 1 Owner, Personal use only,,https://www.edmunds.com/toyota/rav4/2023/vin/2T3S1RFV5PW335838/?radius=25
2019,Toyota,RAV4,XLE,Premium,4dr,13105,30990.0,4cyl Automatic,Carvana (In-stock online),Clean Title,No,No,No,No,JTMA1RFV2KD036048,No,No accidents, 1 Owner, Personal use only,2024-03-21,https://www.edmunds.com/toyota/rav4/2019/vin/JTMA1RFV2KD036048/?radius=25
2021,Toyota,RAV4,Adventure,4dr,SUV,60983,22995.0,4cyl Automatic,Route 46 Chrysler Jeep Dodge Ram (9 mi away),Clean Title,No,No,No,No,2T3J1RFVXMW157092,No,No accidents, 2 Owners, Rental vehicle,2024-01-30,https://www.edmunds.com/toyota/rav4/2021/vin/2T3J1RFVXMW157092/?radius=25
2017,Toyota,RAV4,XLE,4dr,SUV,138867,13599.0,4cyl Automatic,Auto Spot of Mountain Lakes (21 mi away),Clean Title,No,No,No,No,JTMRFREV9HJ107438,No,No accidents, 2 Owners, Personal use only,2023-12-19,https://www.edmunds.com/toyota/rav4/2017/vin/JTMRFREV9HJ107438/?radius=25
2015,Toyota,RAV4,XLE,4dr,SUV,165573,10350.0,4cyl Automatic,Magic Auto Sales (2 mi away),Clean Title,No,No,No,No,2T3RFREV4FW300336,No,No accidents, 1 Owner, Personal use only,2024-02-23,https://www.edmunds.com/toyota/rav4/2015/vin/2T3RFREV4FW300336/?radius=25
2020,Toyota,RAV4,XLE,Premium,4dr,39447,27599.0,4cyl Automatic,Driveway (In-stock online),Clean Title,No,No,No,No,JTMA1RFV5LD526713,No,No accidents, 1 Owner, Personal use only,,https://www.edmunds.com/toyota/rav4/2020/vin/JTMA1RFV5LD526713/?radius=25
2020,Toyota,RAV4,Limited,4dr,SUV,58558,28999.0,4cyl Automatic,Enterprise Car Sales (In-stock online),Clean Title,No,No,No,No,JTMN1RFV2LD530302,No,No accidents, 2 Owners, Rental vehicle,2024-03-11,https://www.edmunds.com/toyota/rav4/2020/vin/JTMN1RFV2LD530302/?radius=25
2018,Toyota,RAV4,XLE,4dr,SUV,35228,21390.0,4cyl Automatic,City World Toyota (10 mi away),Clean Title,No,No,No,No,2T3RFREV0JW820526,No,No accidents, 1 Owner, Personal use,2024-03-21,https://www.edmunds.com/toyota/rav4/2018/vin/2T3RFREV0JW820526/?radius=25
2015,Toyota,RAV4,Limited,4dr,SUV,63279,16995.0,4cyl Automatic,Tasca Kia White Plains (17 mi away),Clean Title,No,No,No,No,2T3DFREV7FW294185,No,No accidents, 1 Owner, Personal use only,2024-01-23,https://www.edmunds.com/toyota/rav4/2015/vin/2T3DFREV7FW294185/?radius=25
Certified,2021,Toyota,RAV4,LE,4dr,39556,23259.0,4cyl Automatic,Sansone Toyota (24 mi away),Clean Title,No,No,No,No,2T3F1RFV4MW146319,Yes,No accidents, 1 Owner, Personal use,2023-11-07,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV4MW146319/?radius=25
2019,Toyota,RAV4,XLE,4dr,SUV,59485,19900.0,4cyl Automatic,Car2Sell (16 mi away),Clean Title,No,No,No,No,2T3P1RFV4KW033276,No,1 Accident, 2 Owners, Rental vehicle,2023-04-23,https://www.edmunds.com/toyota/rav4/2019/vin/2T3P1RFV4KW033276/?radius=25
2019,Toyota,RAV4,XLE,4dr,SUV,38531,23548.0,4cyl Automatic,Driveway (In-stock online),Clean Title,No,No,No,No,JTMP1RFVXKD011070,No,No accidents, 2 Owners, Personal use,,https://www.edmunds.com/toyota/rav4/2019/vin/JTMP1RFVXKD011070/?radius=25
2023,Toyota,RAV4,LE,4dr,SUV,21003,25995.0,4cyl Automatic,Driveway (In-stock online),Clean Title,No,No,No,No,2T3F1RFV8PC346786,No,No accidents, 1 Owner, Corporate fleet vehicle,,https://www.edmunds.com/toyota/rav4/2023/vin/2T3F1RFV8PC346786/?radius=25
2012,Toyota,RAV4,Base,4dr,SUV,129121,8995.0,4cyl Automatic,NJM Auto Group (5 mi away),Clean Title,No,No,No,No,2T3ZF4DV8CW120163,No,No accidents, 2 Owners, Personal use only,2024-03-23,https://www.edmunds.com/toyota/rav4/2012/vin/2T3ZF4DV8CW120163/?radius=25
2013,Toyota,RAV4,XLE,4dr,SUV,47955,14995.0,4cyl Automatic,Passaic Park Motors (5 mi away),Clean Title,No,No,No,No,2T3RFREV7DW083314,No,No accidents, 1 Owner, Personal use,2024-02-16,https://www.edmunds.com/toyota/rav4/2013/vin/2T3RFREV7DW083314/?radius=25
2015,Toyota,RAV4,LE,4dr,SUV,157501,10995.0,4cyl Automatic,Park Motor Cars (6 mi away),Clean Title,No,No,No,No,2T3BFREVXFW252987,No,No accidents, 4 Owners, Personal use,2023-11-09,https://www.edmunds.com/toyota/rav4/2015/vin/2T3BFREVXFW252987/?radius=25
2018,Toyota,RAV4,XLE,4dr,SUV,36024,18995.0,4cyl Automatic,Brick City Motors (11 mi away),Clean Title,No,No,No,No,2T3RFREV1JW810765,No,2 Accidents, 2 Owners, Personal use,2023-11-05,https://www.edmunds.com/toyota/rav4/2018/vin/2T3RFREV1JW810765/?radius=25
2007,Toyota,RAV4,Base,4dr,SUV,166690,5750.0,4cyl Automatic,VNC (6 mi away),Clean Title,No,No,No,No,JTMZD33V575077738,No,No accidents, 2 Owners, Personal use only,2024-03-05,https://www.edmunds.com/toyota/rav4/2007/vin/JTMZD33V575077738/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,18942,23995.0,4cyl Automatic,Route 46 Chrysler Jeep Dodge Ram (9 mi away),Clean Title,No,No,No,No,2T3P1RFV5MC197835,No,1 Accident, 1 Owner, Personal use,2024-03-05,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV5MC197835/?radius=25
2019,Toyota,RAV4,LE,4dr,SUV,134779,15940.0,4cyl Automatic,Driveway (In-stock online),Clean Title,No,No,No,No,JTMH1RFV8KD033234,No,No accidents, 2 Owners, Personal use only,,https://www.edmunds.com/toyota/rav4/2019/vin/JTMH1RFV8KD033234/?radius=25
2015,Toyota,RAV4,LE,4dr,SUV,120581,12999.0,4cyl Automatic,Driveway (In-stock online),Clean Title,No,No,No,No,2T3ZFREV4FW194132,No,No accidents, 2 Owners, Corporate fleet vehicle,,https://www.edmunds.com/toyota/rav4/2015/vin/2T3ZFREV4FW194132/?radius=25
2021,Toyota,RAV4,LE,4dr,SUV,20204,23829.0,4cyl Automatic,City World Hyundai (10 mi away),Clean Title,No,No,No,No,2T3F1RFV7MC167781,No,No accidents, 1 Owner, Personal use,2024-02-15,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV7MC167781/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,22572,24986.0,4cyl Automatic,Paul Miller Toyota of West Caldwell (14 mi away),Clean Title,No,No,No,No,2T3P1RFV7MC189753,No,No accidents, 1 Owner, Personal use,2024-02-17,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV7MC189753/?radius=25
2021,Toyota,RAV4,LE,4dr,SUV,16424,24240.0,4cyl Automatic,Sunrise Chevrolet Of Forest Hills (16 mi away),Clean Title,No,No,No,No,2T3F1RFV5MC179640,No,No accidents, 1 Owner, Personal use,2024-02-20,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV5MC179640/?radius=25
2021,Toyota,RAV4,LE,4dr,SUV,12551,24390.0,4cyl Automatic,City World Toyota (10 mi away),Clean Title,No,No,No,No,2T3F1RFV5MC211177,No,No accidents, 1 Owner, Personal use,2024-04-06,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV5MC211177/?radius=25
2019,Toyota,RAV4,LE,4dr,SUV,43736,21388.0,4cyl Automatic,Fette INFINITI (7 mi away),Clean Title,No,No,No,No,2T3F1RFV5KW065942,No,No accidents, 3 Owners, Personal use,2023-08-29,https://www.edmunds.com/toyota/rav4/2019/vin/2T3F1RFV5KW065942/?radius=25
2014,Toyota,RAV4,XLE,4dr,SUV,199626,8999.0,4cyl Automatic,Autopia Motorcars (18 mi away),Clean Title,No,No,No,No,2T3RFREV6EW134223,No,No accidents, 3 Owners, Personal use only,2024-03-10,https://www.edmunds.com/toyota/rav4/2014/vin/2T3RFREV6EW134223/?radius=25
2019,Toyota,RAV4,LE,4dr,SUV,46111,21528.0,4cyl Automatic,Mazda of New Rochelle (15 mi away),Clean Title,No,No,No,No,2T3G1RFVXKW040538,No,No accidents, 2 Owners, Personal use,2024-03-06,https://www.edmunds.com/toyota/rav4/2019/vin/2T3G1RFVXKW040538/?radius=25
2019,Toyota,RAV4,XLE,4dr,SUV,59161,21288.0,4cyl Automatic,Driveway (In-stock online),Clean Title,No,No,No,No,2T3P1RFV1KW048057,No,No accidents, 2 Owners, Personal use only,,https://www.edmunds.com/toyota/rav4/2019/vin/2T3P1RFV1KW048057/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,60360,21889.0,4cyl Automatic,DCH Millburn Audi (17 mi away),Clean Title,No,No,No,No,2T3P1RFVXMC220154,No,No accidents, 2 Owners, Rental vehicle,2024-02-29,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFVXMC220154/?radius=25
2017,Toyota,RAV4,LE,4dr,SUV,157762,12299.0,4cyl Automatic,Auto Spot of Mountain Lakes (21 mi away),Clean Title,No,No,No,No,2T3BFREV8HW559366,No,No accidents, 2 Owners, Personal use only,2024-01-04,https://www.edmunds.com/toyota/rav4/2017/vin/2T3BFREV8HW559366/?radius=25
2012,Toyota,RAV4,Limited,4dr,SUV,126000,11995.0,6cyl Automatic,Auto Haus of Irvington (15 mi away),Clean Title,No,No,No,No,2T3DK4DV7CW081815,No,No accidents, 2 Owners, Personal use only,2023-11-22,https://www.edmunds.com/toyota/rav4/2012/vin/2T3DK4DV7CW081815/?radius=25
2020,Toyota,RAV4,LE,4dr,SUV,25156,23548.0,4cyl Automatic,Driveway (In-stock online),Clean Title,No,No,No,No,2T3F1RFV1LW133753,No,No accidents, 2 Owners, Personal use,,https://www.edmunds.com/toyota/rav4/2020/vin/2T3F1RFV1LW133753/?radius=25
2020,Toyota,RAV4,XLE,4dr,SUV,22342,25088.0,4cyl Automatic,Brooklyn Chrysler Jeep Dodge Ram (20 mi away),Clean Title,No,No,No,No,JTMP1RFVXLD049917,No,No accidents, 1 Owner, Personal use,2024-01-31,https://www.edmunds.com/toyota/rav4/2020/vin/JTMP1RFVXLD049917/?radius=25
2008,Toyota,RAV4,Limited,4dr,SUV,185736,6495.0,6cyl Automatic,Boston Road Best Motors (11 mi away),Clean Title,No,No,No,No,JTMBK31V685058448,No,1 Accident, 3 Owners, Personal use only,2023-07-27,https://www.edmunds.com/toyota/rav4/2008/vin/JTMBK31V685058448/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,58791,21590.0,4cyl Automatic,Route 17 Nissan (3 mi away),Clean Title,No,No,No,No,2T3P1RFV6MW220537,No,1 Accident, 1 Owner, Rental vehicle,2024-02-13,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV6MW220537/?radius=25
2010,Toyota,RAV4,Base,4dr,SUV,194183,6995.0,4cyl Automatic,McDarby Motors (21 mi away),Clean Title,No,No,No,No,JTMKF4DVXA5027635,No,1 Accident, 4 Owners, Corporate fleet vehicle,2023-12-03,https://www.edmunds.com/toyota/rav4/2010/vin/JTMKF4DVXA5027635/?radius=25
2018,Toyota,RAV4,Adventure,4dr,SUV,107042,16650.0,4cyl Automatic,Magic Auto Sales (2 mi away),Clean Title,No,No,No,No,2T3RFREV2JW696050,No,1 Accident, 1 Owner, Personal use,2024-02-23,https://www.edmunds.com/toyota/rav4/2018/vin/2T3RFREV2JW696050/?radius=25
2019,Toyota,RAV4,LE,4dr,SUV,70989,20198.0,4cyl Automatic,Driveway (In-stock online),Clean Title,No,No,No,No,2T3G1RFV8KW041364,No,No accidents, 3 Owners, Personal use,,https://www.edmunds.com/toyota/rav4/2019/vin/2T3G1RFV8KW041364/?radius=25
2019,Toyota,RAV4,XLE,Premium,4dr,96239,20995.0,4cyl Automatic,5 Towns Drive (24 mi away),Clean Title,No,No,No,No,JTMA1RFV6KD501060,No,No accidents, 2 Owners, Rental vehicle,2024-03-13,https://www.edmunds.com/toyota/rav4/2019/vin/JTMA1RFV6KD501060/?radius=25
2010,Toyota,RAV4,Base,4dr,SUV,142071,8100.0,4cyl Automatic,VNC (6 mi away),Clean Title,No,No,No,No,JTMBF4DV3AD029930,No,1 Accident, 3 Owners, Personal use,2024-01-28,https://www.edmunds.com/toyota/rav4/2010/vin/JTMBF4DV3AD029930/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,17897,26390.0,4cyl Automatic,City World Toyota (10 mi away),Clean Title,No,No,No,No,2T3P1RFV3MC188373,No,4 Accidents, 1 Owner, Personal use,2024-03-26,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV3MC188373/?radius=25
2021,Toyota,RAV4,Adventure,4dr,SUV,59836,25642.0,4cyl Automatic,Driveway (In-stock online),Clean Title,No,No,No,No,2T3J1RFV6MW172382,No,No accidents, 1 Owner, Personal use only,,https://www.edmunds.com/toyota/rav4/2021/vin/2T3J1RFV6MW172382/?radius=25
2019,Toyota,RAV4,XLE,4dr,SUV,45567,23495.0,4cyl Automatic,Richard Lucas Subaru (24 mi away),Clean Title,No,No,No,No,JTMP1RFV6KD018405,No,No accidents, 2 Owners, Personal use,2024-03-27,https://www.edmunds.com/toyota/rav4/2019/vin/JTMP1RFV6KD018405/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,56133,22990.0,4cyl Automatic,Route 17 Nissan (3 mi away),Clean Title,No,No,No,No,2T3P1RFV9MW207281,No,No accidents, 1 Owner, Personal use only,2024-03-19,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV9MW207281/?radius=25
2021,Toyota,RAV4,XLE,Premium,4dr,18782,31998.0,4cyl Automatic,CarMax (In-stock online),Clean Title,No,No,No,No,2T3C1RFV0MW144683,No,No accidents, 1 Owner, Personal use only,,https://www.edmunds.com/toyota/rav4/2021/vin/2T3C1RFV0MW144683/?radius=25
Certified,2020,Toyota,RAV4,XLE,4dr,52574,25409.0,4cyl Automatic,Paul Miller Toyota of West Caldwell (14 mi away),Clean Title,No,No,No,No,2T3P1RFV9LW110600,Yes,No accidents, 1 Owner, Personal use,2024-02-28,https://www.edmunds.com/toyota/rav4/2020/vin/2T3P1RFV9LW110600/?radius=25
2020,Toyota,RAV4,Adventure,4dr,SUV,66741,24699.0,4cyl Automatic,Enterprise Car Sales (In-stock online),Clean Title,No,No,No,No,2T3J1RFV1LC092536,No,No accidents, 1 Owner, Rental vehicle,2024-01-15,https://www.edmunds.com/toyota/rav4/2020/vin/2T3J1RFV1LC092536/?radius=25
2021,Toyota,RAV4,LE,4dr,SUV,46866,22590.0,4cyl Automatic,City World Toyota (10 mi away),Clean Title,No,No,No,No,2T3F1RFVXMW191992,No,No accidents, 1 Owner, Personal use,2024-04-04,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFVXMW191992/?radius=25
2007,Toyota,RAV4,Base,4dr,SUV,149164,6500.0,4cyl Automatic,Auto 1 Wholesale (7 mi away),Clean Title,No,No,No,No,JTMBD33V175120571,No,1 Accident, 3 Owners, Personal use only,2023-10-07,https://www.edmunds.com/toyota/rav4/2007/vin/JTMBD33V175120571/?radius=25
Certified,2021,Toyota,RAV4,XLE,4dr,25049,27995.0,4cyl Automatic,East Coast Toyota (4 mi away),Clean Title,No,No,No,No,2T3P1RFV0MW224051,Yes,1 Accident, 1 Owner, Personal use,2024-02-10,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV0MW224051/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,58389,22588.0,4cyl Automatic,Route 23 Nissan (18 mi away),Clean Title,No,No,No,No,2T3P1RFV2MW212838,No,No accidents, 1 Owner, Rental vehicle,2024-03-08,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV2MW212838/?radius=25
2015,Toyota,RAV4,LE,4dr,SUV,143388,11650.0,4cyl Automatic,Magic Auto Sales (2 mi away),Clean Title,No,No,No,No,JTMBFREV8FD143201,No,3 Accidents, 2 Owners, Personal use only,2024-03-17,https://www.edmunds.com/toyota/rav4/2015/vin/JTMBFREV8FD143201/?radius=25
2017,Toyota,RAV4,Platinum,4dr,SUV,62053,21995.0,4cyl Automatic,Rockland Motors (15 mi away),Clean Title,No,No,No,No,2T3DFREVXHW575321,No,No accidents, 1 Owner, Personal use only,2024-03-08,https://www.edmunds.com/toyota/rav4/2017/vin/2T3DFREVXHW575321/?radius=25
2016,Toyota,RAV4,LE,4dr,SUV,97197,15336.0,4cyl Automatic,Paul Miller Toyota of West Caldwell (14 mi away),Clean Title,No,No,No,No,JTMBFREV5GJ096521,No,No accidents, 1 Owner, Personal use only,2024-04-08,https://www.edmunds.com/toyota/rav4/2016/vin/JTMBFREV5GJ096521/?radius=25
2016,Toyota,RAV4,LE,4dr,SUV,36534,13990.0,4cyl Automatic,Positive Auto Sales (3 mi away),Title issue reported,No,No,No,No,2T3BFREV4GW476614,No,Insurance loss reported, 2 Owners, Personal use,2023-07-13,https://www.edmunds.com/toyota/rav4/2016/vin/2T3BFREV4GW476614/?radius=25
2008,Toyota,RAV4,Base,4dr,SUV,129547,7495.0,4cyl Automatic,DRD Auto (17 mi away),Clean Title,No,No,No,No,JTMZD33V085105351,No,No accidents, 2 Owners, Personal use only,2024-04-11,https://www.edmunds.com/toyota/rav4/2008/vin/JTMZD33V085105351/?radius=25
2021,Toyota,RAV4,LE,4dr,SUV,20359,23890.0,4cyl Automatic,City World Toyota (10 mi away),Clean Title,No,No,No,No,2T3G1RFV4MC190133,No,1 Accident, 1 Owner, Personal use,2024-03-27,https://www.edmunds.com/toyota/rav4/2021/vin/2T3G1RFV4MC190133/?radius=25
2023,Toyota,RAV4,XLE,4dr,SUV,21462,30998.0,4cyl Automatic,CarMax (In-stock online),Clean Title,No,No,No,No,2T3P1RFVXPW360157,No,No accidents, 1 Owner, Corporate fleet vehicle,,https://www.edmunds.com/toyota/rav4/2023/vin/2T3P1RFVXPW360157/?radius=25
2020,Toyota,RAV4,Limited,4dr,SUV,39719,28998.0,4cyl Automatic,CarMax (In-stock online),Clean Title,No,No,No,No,JTMY1RFV3LD521847,No,No accidents, 1 Owner, Personal use only,,https://www.edmunds.com/toyota/rav4/2020/vin/JTMY1RFV3LD521847/?radius=25
2020,Toyota,RAV4,LE,4dr,SUV,36939,23578.0,4cyl Automatic,Driveway (In-stock online),Clean Title,No,No,No,No,2T3G1RFV9LC078460,No,No accidents, 1 Owner, Corporate fleet vehicle,,https://www.edmunds.com/toyota/rav4/2020/vin/2T3G1RFV9LC078460/?radius=25
2021,Toyota,RAV4,Limited,4dr,SUV,34248,31707.0,4cyl Automatic,Driveway (In-stock online),Clean Title,No,No,No,No,2T3N1RFV5MW207561,No,No accidents, 1 Owner, Personal use,,https://www.edmunds.com/toyota/rav4/2021/vin/2T3N1RFV5MW207561/?radius=25
2014,Toyota,RAV4,XLE,4dr,SUV,130053,12990.0,4cyl Automatic,Driveway (In-stock online),Clean Title,No,No,No,No,2T3RFREV3EW151030,No,1 Accident, 3 Owners, Personal use only,,https://www.edmunds.com/toyota/rav4/2014/vin/2T3RFREV3EW151030/?radius=25
2023,Toyota,RAV4,XLE,4dr,SUV,28806,30481.0,4cyl Automatic,Driveway (In-stock online),Clean Title,No,No,No,No,2T3P1RFV4PW346562,No,No accidents, 1 Owner, Corporate fleet vehicle,,https://www.edmunds.com/toyota/rav4/2023/vin/2T3P1RFV4PW346562/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,61536,22499.0,4cyl Automatic,Driveway (In-stock online),Clean Title,No,No,No,No,2T3P1RFV5MW213904,No,No accidents, 1 Owner, Rental vehicle,,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV5MW213904/?radius=25
2016,Toyota,RAV4,SE,4dr,SUV,72523,20998.0,CarMax (In-stock online),Delivery available*,,,,,,2T3NFREV2GW306510,No,4cyl Automatic,,,,https://www.edmunds.com/toyota/rav4/2016/vin/2T3NFREV2GW306510/?radius=25
2013,Toyota,RAV4,LE,4dr,SUV,152491,9977.0,4cyl Automatic,Imports Auto Sales (5 mi away),Clean Title,No,No,No,No,2T3BFREV9DW010947,No,2 Accidents, 2 Owners, Personal use,2024-03-25,https://www.edmunds.com/toyota/rav4/2013/vin/2T3BFREV9DW010947/?radius=25
2021,Toyota,RAV4,XLE,Premium,4dr,24619,27688.0,4cyl Automatic,Route 23 Nissan (18 mi away),Clean Title,No,No,No,No,2T3A1RFVXMW197771,No,2 Accidents, 1 Owner, Personal use,2024-03-29,https://www.edmunds.com/toyota/rav4/2021/vin/2T3A1RFVXMW197771/?radius=25
2017,Toyota,RAV4,XLE,4dr,SUV,109582,15990.0,4cyl Automatic,City World Toyota (10 mi away),Clean Title,No,No,No,No,2T3RFREV7HW663314,No,4 Accidents, 3 Owners, Taxi vehicle,2024-02-17,https://www.edmunds.com/toyota/rav4/2017/vin/2T3RFREV7HW663314/?radius=25
2017,Toyota,RAV4,LE,4dr,SUV,51446,17995.0,4cyl Automatic,Auto Haus of Irvington (15 mi away),Clean Title,No,No,No,No,2T3BFREV6HW611934,No,2 Accidents, 2 Owners, Personal use only,2023-12-26,https://www.edmunds.com/toyota/rav4/2017/vin/2T3BFREV6HW611934/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,65487,22499.0,4cyl Automatic,Enterprise Car Sales (In-stock online),Clean Title,No,No,No,No,2T3P1RFV5MW219637,No,1 Accident, 2 Owners, Rental vehicle,2024-01-17,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV5MW219637/?radius=25
2019,Toyota,RAV4,XLE,Premium,4dr,29179,27998.0,4cyl Automatic,CarMax (In-stock online),Clean Title,No,No,No,No,2T3A1RFV0KW077734,No,1 Accident, 2 Owners, Personal use,,https://www.edmunds.com/toyota/rav4/2019/vin/2T3A1RFV0KW077734/?radius=25
2013,Toyota,RAV4,LE,4dr,SUV,168631,8690.0,4cyl Automatic,Certified MotorCar (20 mi away),Clean Title,No,No,No,No,2T3ZFREV6DW055648,No,1 Accident, 1 Owner, Personal use only,2024-02-17,https://www.edmunds.com/toyota/rav4/2013/vin/2T3ZFREV6DW055648/?radius=25
2021,Toyota,RAV4,XLE,Premium,4dr,56040,26998.0,4cyl Automatic,CarMax (In-stock online),Clean Title,No,No,No,No,2T3C1RFV2MC099845,No,No accidents, 1 Owner, Personal use,,https://www.edmunds.com/toyota/rav4/2021/vin/2T3C1RFV2MC099845/?radius=25
