year,make,model,trim,doors,type,mileage,price,cyl,dealer,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,VIN,Certified Pre-Owned,Accidents,Owners,Usage,Listed since,car_url
2017,Toyota,RAV4,LE,4dr,SUV,78078,15500.0,4cyl Automatic,Auto Outlet (19 mi away),Clean Title,No,No,No,No,2T3ZFREV5HW365618,No,No accidents, 3 Owners, Rental vehicle,2023-09-26,https://www.edmunds.com/toyota/rav4/2017/vin/2T3ZFREV5HW365618/?radius=25
2018,Toyota,RAV4,LE,4dr,SUV,37025,17000.0,4cyl Automatic,Auto Outlet (19 mi away),Clean Title,No,No,No,No,JTMBFREV7JJ201664,No,No accidents, 2 Owners, Corporate fleet vehicle,2023-09-26,https://www.edmunds.com/toyota/rav4/2018/vin/JTMBFREV7JJ201664/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,61402,18309.0,4cyl Automatic,Power Motors NYC (18 mi away),Clean Title,No,No,No,No,2T3W1RFV3MW165864,No,No accidents, 1 Owner, Personal use only,2024-02-01,https://www.edmunds.com/toyota/rav4/2021/vin/2T3W1RFV3MW165864/?radius=25
Certified,2021,Toyota,RAV4,XLE,Premium,5301,31299.0,4cyl Automatic,Plaza Toyota (19 mi away),Clean Title,No,No,No,No,2T3A1RFV3MC207736,Yes,No accidents, 1 Owner, Personal use,2024-04-02,https://www.edmunds.com/toyota/rav4/2021/vin/2T3A1RFV3MC207736/?radius=25
2020,Toyota,RAV4,Base,4dr,SUV,41150,19905.0,4cyl Automatic,JD Motors (19 mi away),Clean Title,No,No,No,No,2T3K1RFV6LC038878,No,2 Accidents, 1 Owner, Corporate fleet vehicle,2024-03-22,https://www.edmunds.com/toyota/rav4/2020/vin/2T3K1RFV6LC038878/?radius=25
2018,Toyota,RAV4,LE,4dr,SUV,45908,17113.0,4cyl Automatic,Auto Outlet (19 mi away),Clean Title,No,No,No,No,2T3ZFREV0JW436553,No,No accidents, 3 Owners, Corporate fleet vehicle,2023-09-26,https://www.edmunds.com/toyota/rav4/2018/vin/2T3ZFREV0JW436553/?radius=25
2008,Toyota,RAV4,Base,4dr,SUV,102921,7799.0,4cyl Automatic,Auto Spot (1 mi away),Clean Title,No,No,No,No,JTMBD33V785208025,No,No accidents, 2 Owners, Personal use only,,https://www.edmunds.com/toyota/rav4/2008/vin/JTMBD33V785208025/?radius=25
2016,Toyota,RAV4,Limited,4dr,SUV,60634,18500.0,4cyl Automatic,M Sport Motor Cars (16 mi away),Clean Title,No,No,No,No,2T3DFREV9GW488900,No,No accidents, 2 Owners, Personal use only,2024-04-01,https://www.edmunds.com/toyota/rav4/2016/vin/2T3DFREV9GW488900/?radius=25
Certified,2019,Toyota,RAV4,Limited,4dr,64815,26995.0,4cyl Automatic,Lia Toyota of Rockland (14 mi away),Clean Title,No,No,No,No,2T3N1RFV2KC043426,Yes,No accidents, 2 Owners, Personal use only,2024-02-27,https://www.edmunds.com/toyota/rav4/2019/vin/2T3N1RFV2KC043426/?radius=25
Certified,2021,Toyota,RAV4,XLE,4dr,20947,27960.0,4cyl Automatic,Plaza Toyota (19 mi away),Clean Title,No,No,No,No,2T3P1RFV0MW215950,Yes,No accidents, 1 Owner, Personal use,2024-04-02,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV0MW215950/?radius=25
2012,Toyota,RAV4,Base,4dr,SUV,127819,7799.0,4cyl Automatic,Auto Spot (1 mi away),Clean Title,No,No,No,No,2T3JF4DV8CW215870,No,4 Accidents, 4 Owners, Personal use only,,https://www.edmunds.com/toyota/rav4/2012/vin/2T3JF4DV8CW215870/?radius=25
2019,Toyota,RAV4,LE,4dr,SUV,35680,20000.0,4cyl Automatic,Axis Chevrolet (13 mi away),Clean Title,No,No,No,No,JTMG1RFV6KJ011326,No,No accidents, 1 Owner, Personal use only,2024-02-16,https://www.edmunds.com/toyota/rav4/2019/vin/JTMG1RFV6KJ011326/?radius=25
2018,Toyota,RAV4,Limited,4dr,SUV,25122,20895.0,4cyl Automatic,Toyota of Manhattan (9 mi away),Clean Title,No,No,No,No,2T3DFREV6JW724250,No,No accidents, 1 Owner, Personal use only,2024-04-09,https://www.edmunds.com/toyota/rav4/2018/vin/2T3DFREV6JW724250/?radius=25
2021,Toyota,RAV4,XLE,Premium,4dr,40303,25000.0,4cyl Automatic,Madison Honda (21 mi away),Clean Title,No,No,No,No,2T3A1RFV9MW200210,No,No accidents, 1 Owner, Personal use,2024-02-24,https://www.edmunds.com/toyota/rav4/2021/vin/2T3A1RFV9MW200210/?radius=25
2021,Toyota,RAV4,LE,4dr,SUV,26994,18900.0,4cyl Automatic,Auto Outlet (19 mi away),Clean Title,No,No,No,No,2T3H1RFV5MW176681,No,No accidents, 2 Owners, Corporate fleet vehicle,2023-09-26,https://www.edmunds.com/toyota/rav4/2021/vin/2T3H1RFV5MW176681/?radius=25
