Year,Make,Model,Trim,Doors,Type,price,Mileage,Accidents,Owners,Usage,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Certified Pre-Owned,Listed since,car_url
2018,Toyota,RAV4,XLE,4dr,SUV,15898.0,89703.0,0,2,Personal use,Clean Title,No,No,No,No,No,2024-04-03,https://www.edmunds.com/toyota/rav4/2018/vin/JTMRFREV8JJ739854/?radius=25
2023,Toyota,RAV4,Adventure,4dr,SUV,28885.0,25620.0,0,1,Rental vehicle,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/toyota/rav4/2023/vin/2T3J1RFVXPW358298/?radius=25
2018,Toyota,RAV4,XLE,4dr,SUV,17500.0,44833.0,1,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-09-26,https://www.edmunds.com/toyota/rav4/2018/vin/2T3RFREV0JW754575/?radius=25
2020,Toyota,RAV4,LE,4dr,SUV,21980.0,33025.0,0,1,Personal use,Clean Title,No,No,No,No,No,2023-11-07,https://www.edmunds.com/toyota/rav4/2020/vin/2T3F1RFV2LC136419/?radius=25
2010,Toyota,RAV4,Base,4dr,SUV,6999.0,154830.0,0,4,Corporate fleet vehicle,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2010/vin/2T3BF4DV2AW034006/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,18879.0,59711.0,1,1,Rental vehicle,Clean Title,No,No,No,No,No,2024-01-24,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV4MC144673/?radius=25
2022,Toyota,RAV4,LE,4dr,SUV,20900.0,31372.0,1,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-12-30,https://www.edmunds.com/toyota/rav4/2022/vin/2T3F1RFV5NW290088/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,16900.0,64709.0,1,3,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2024-01-25,https://www.edmunds.com/toyota/rav4/2021/vin/2T3W1RFV3MW115112/?radius=25
2020,Toyota,RAV4,LE,4dr,SUV,18980.0,91273.0,0,2,Rental vehicle,Clean Title,No,No,No,No,No,2024-02-21,https://www.edmunds.com/toyota/rav4/2020/vin/2T3F1RFV4LW103405/?radius=25
2019,Toyota,RAV4,XLE,Premium,4dr,20000.0,73800.0,0,2,Personal use only,Clean Title,No,No,No,No,No,2024-01-25,https://www.edmunds.com/toyota/rav4/2019/vin/2T3A1RFV8KC056406/?radius=25
2018,Toyota,RAV4,LE,4dr,SUV,17500.0,30335.0,0,2,Personal use,Clean Title,No,No,No,No,No,2023-09-26,https://www.edmunds.com/toyota/rav4/2018/vin/JTMBFREV8JD228404/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,19885.0,58018.0,1,1,Rental vehicle,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV0MW202518/?radius=25
2019,Toyota,RAV4,LE,4dr,SUV,18500.0,49030.0,0,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-12-21,https://www.edmunds.com/toyota/rav4/2019/vin/2T3H1RFV4KW051670/?radius=25
2010,Toyota,RAV4,Base,4dr,SUV,7799.0,150117.0,1,4,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2010/vin/2T3BK4DV9AW018994/?radius=25
2017,Toyota,RAV4,LE,4dr,SUV,15500.0,78078.0,0,3,Rental vehicle,Clean Title,No,No,No,No,No,2023-09-26,https://www.edmunds.com/toyota/rav4/2017/vin/2T3ZFREV5HW365618/?radius=25
2018,Toyota,RAV4,LE,4dr,SUV,17000.0,37025.0,0,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-09-26,https://www.edmunds.com/toyota/rav4/2018/vin/JTMBFREV7JJ201664/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,18309.0,61402.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-02-01,https://www.edmunds.com/toyota/rav4/2021/vin/2T3W1RFV3MW165864/?radius=25
2021,Toyota,RAV4,XLE,Premium,4dr,31299.0,5301.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-04-02,https://www.edmunds.com/toyota/rav4/2021/vin/2T3A1RFV3MC207736/?radius=25
2020,Toyota,RAV4,Base,4dr,SUV,19905.0,41150.0,2,1,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/toyota/rav4/2020/vin/2T3K1RFV6LC038878/?radius=25
2018,Toyota,RAV4,LE,4dr,SUV,17113.0,45908.0,0,3,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-09-26,https://www.edmunds.com/toyota/rav4/2018/vin/2T3ZFREV0JW436553/?radius=25
2008,Toyota,RAV4,Base,4dr,SUV,7799.0,102921.0,0,2,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2008/vin/JTMBD33V785208025/?radius=25
2016,Toyota,RAV4,Limited,4dr,SUV,18500.0,60634.0,0,2,Personal use only,Clean Title,No,No,No,No,No,2024-04-01,https://www.edmunds.com/toyota/rav4/2016/vin/2T3DFREV9GW488900/?radius=25
2019,Toyota,RAV4,Limited,4dr,SUV,26995.0,64815.0,0,2,Personal use only,Clean Title,No,No,No,No,Yes,2024-02-27,https://www.edmunds.com/toyota/rav4/2019/vin/2T3N1RFV2KC043426/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,27960.0,20947.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-04-02,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV0MW215950/?radius=25
2012,Toyota,RAV4,Base,4dr,SUV,7799.0,127819.0,4,4,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2012/vin/2T3JF4DV8CW215870/?radius=25
2019,Toyota,RAV4,LE,4dr,SUV,17900.0,72822.0,0,4,Personal use only,Clean Title,No,No,No,No,No,2023-12-16,https://www.edmunds.com/toyota/rav4/2019/vin/2T3H1RFVXKW003011/?radius=25
2018,Toyota,RAV4,LE,4dr,SUV,16500.0,33972.0,1,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-09-26,https://www.edmunds.com/toyota/rav4/2018/vin/2T3BFREV0JW783124/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,17999.0,61409.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2023-12-21,https://www.edmunds.com/toyota/rav4/2021/vin/2T3W1RFV3MC126919/?radius=25
2021,Toyota,RAV4,LE,4dr,SUV,20000.0,39417.0,0,2,Personal use only,Clean Title,No,No,No,No,No,2024-01-25,https://www.edmunds.com/toyota/rav4/2021/vin/2T3H1RFV3MW142674/?radius=25
2020,Toyota,RAV4,LE,4dr,SUV,26899.0,6200.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-03-26,https://www.edmunds.com/toyota/rav4/2020/vin/JTMF1RFV1LD055343/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,26499.0,19947.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-03-23,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV1MW191691/?radius=25
2019,Toyota,RAV4,XLE,4dr,SUV,20905.0,68031.0,0,3,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/toyota/rav4/2019/vin/JTMW1RFV0KD011428/?radius=25
2021,Toyota,RAV4,LE,4dr,SUV,19700.0,47080.0,0,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-12-16,https://www.edmunds.com/toyota/rav4/2021/vin/2T3H1RFV1MW150241/?radius=25
2018,Toyota,RAV4,LE,4dr,SUV,17505.0,32568.0,3,2,Personal use,Clean Title,No,No,No,No,No,2023-09-26,https://www.edmunds.com/toyota/rav4/2018/vin/2T3ZFREVXJW429299/?radius=25
2017,Toyota,RAV4,XLE,4dr,SUV,17895.0,71763.0,0,3,Personal use,Clean Title,No,No,No,No,No,2024-04-08,https://www.edmunds.com/toyota/rav4/2017/vin/JTMRFREV0HJ128243/?radius=25
2011,Toyota,RAV4,Limited,4dr,SUV,9799.0,142358.0,1,1,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2011/vin/2T3DK4DV2BW050017/?radius=25
2020,Toyota,RAV4,XLE,Premium,4dr,20885.0,103119.0,0,2,Taxi vehicle,Clean Title,No,No,No,No,No,2024-02-15,https://www.edmunds.com/toyota/rav4/2020/vin/2T3A1RFV5LW138741/?radius=25
2018,Toyota,RAV4,LE,4dr,SUV,15905.0,43286.0,2,2,Personal use,Clean Title,No,No,No,No,No,2023-09-26,https://www.edmunds.com/toyota/rav4/2018/vin/2T3BFREV4JW744780/?radius=25
2019,Toyota,RAV4,XLE,Premium,4dr,20900.0,74862.0,3,2,Taxi vehicle,Clean Title,No,No,No,No,No,2023-12-30,https://www.edmunds.com/toyota/rav4/2019/vin/2T3A1RFV6KC051267/?radius=25
2020,Toyota,RAV4,XLE,4dr,SUV,22500.0,21173.0,1,1,Rental vehicle,Clean Title,No,No,No,No,No,2023-06-27,https://www.edmunds.com/toyota/rav4/2020/vin/2T3W1RFV8LC052718/?radius=25
2023,Toyota,RAV4,XLE,4dr,SUV,31500.0,16563.0,0,2,Personal use only,Clean Title,No,No,No,No,Yes,2024-03-11,https://www.edmunds.com/toyota/rav4/2023/vin/2T3P1RFV6PW364593/?radius=25
2019,Toyota,RAV4,XLE,4dr,SUV,22000.0,43835.0,2,2,Personal use,Clean Title,No,No,No,No,No,2023-06-27,https://www.edmunds.com/toyota/rav4/2019/vin/JTMP1RFVXKD032825/?radius=25
2023,Toyota,RAV4,XLE,Premium,4dr,34395.0,5223.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2023-03-10,https://www.edmunds.com/toyota/rav4/2023/vin/2T3A1RFVXPC343169/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,27935.0,20340.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-04-05,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV9MC226740/?radius=25
2023,Toyota,RAV4,XLE,Premium,4dr,34395.0,5581.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2023-03-23,https://www.edmunds.com/toyota/rav4/2023/vin/2T3A1RFV5PC346688/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,22990.0,32669.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-01-31,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV8MW176492/?radius=25
2022,Toyota,RAV4,LE,4dr,SUV,20900.0,43861.0,0,2,Taxi vehicle,Clean Title,No,No,No,No,No,2024-01-25,https://www.edmunds.com/toyota/rav4/2022/vin/2T3H1RFV3NW200235/?radius=25
2016,Toyota,RAV4,LE,4dr,SUV,15199.0,78178.0,1,2,Personal use,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2016/vin/JTMBFREV5GD177940/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,22952.0,30100.0,1,1,Personal use,Clean Title,No,No,No,No,No,2024-03-01,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV6MC164374/?radius=25
2018,Toyota,RAV4,Limited,4dr,SUV,18700.0,95852.0,0,1,Personal use,Clean Title,No,No,No,No,No,2023-12-04,https://www.edmunds.com/toyota/rav4/2018/vin/JTMDFREV9JD233099/?radius=25
2022,Toyota,RAV4,XLE,4dr,SUV,29491.0,9923.0,0,1,Personal use,Clean Title,No,No,No,No,No,2023-12-22,https://www.edmunds.com/toyota/rav4/2022/vin/2T3P1RFV4NC305508/?radius=25
2018,Toyota,RAV4,LE,4dr,SUV,16900.0,30232.0,1,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-09-26,https://www.edmunds.com/toyota/rav4/2018/vin/JTMBFREV9JJ196354/?radius=25
2017,Toyota,RAV4,XLE,4dr,SUV,19495.0,45017.0,2,2,Personal use,Clean Title,No,No,No,No,No,2024-03-02,https://www.edmunds.com/toyota/rav4/2017/vin/2T3RFREV1HW688189/?radius=25
