Year,Make,Model,Trim,Doors,Type,price,Mileage,Accidents,Owners,Usage,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Certified Pre-Owned,Listed since,car_url
2021,Toyota,RAV4,XLE,Premium,4dr,25000.0,40303.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-24,https://www.edmunds.com/toyota/rav4/2021/vin/2T3A1RFV9MW200210/?radius=25
2021,Toyota,RAV4,LE,4dr,SUV,18900.0,26994.0,0,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-09-26,https://www.edmunds.com/toyota/rav4/2021/vin/2T3H1RFV5MW176681/?radius=25
2020,Toyota,RAV4,XLE,4dr,SUV,16500.0,80657.0,0,3,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-09-26,https://www.edmunds.com/toyota/rav4/2020/vin/2T3P1RFV5LC104553/?radius=25
2020,Toyota,RAV4,XLE,Premium,4dr,18900.0,36371.0,0,4,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-09-26,https://www.edmunds.com/toyota/rav4/2020/vin/2T3C1RFV9LW092601/?radius=25
2021,Toyota,RAV4,LE,4dr,SUV,19505.0,34171.0,0,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2024-01-25,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV4MC151912/?radius=25
2021,Toyota,RAV4,Adventure,4dr,SUV,19695.0,65860.0,0,1,Rental vehicle,Clean Title,No,No,No,No,No,2024-01-09,https://www.edmunds.com/toyota/rav4/2021/vin/2T3J1RFV3MW161727/?radius=25
2022,Toyota,RAV4,XLE,4dr,SUV,21985.0,57779.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-02-14,https://www.edmunds.com/toyota/rav4/2022/vin/2T3P1RFV6NW298155/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,18988.0,63233.0,0,1,Rental vehicle,Clean Title,No,No,No,No,No,2024-01-24,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV3MW158188/?radius=25
2020,Toyota,RAV4,Base,4dr,SUV,17500.0,76523.0,0,3,Personal use,Clean Title,No,No,No,No,No,2024-01-24,https://www.edmunds.com/toyota/rav4/2020/vin/2T3H1RFV9LW066375/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,23990.0,26623.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-04-08,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV7MC145686/?radius=25
2020,Toyota,RAV4,XLE,4dr,SUV,22500.0,44709.0,0,2,Personal use only,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/toyota/rav4/2020/vin/JTMP1RFV9LD530645/?radius=25
2021,Toyota,RAV4,Adventure,4dr,SUV,21549.0,65229.0,0,1,Rental vehicle,Clean Title,No,No,No,No,No,2024-02-09,https://www.edmunds.com/toyota/rav4/2021/vin/2T3J1RFV2MW162741/?radius=25
2019,Toyota,RAV4,LE,4dr,SUV,21420.0,25883.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-02-08,https://www.edmunds.com/toyota/rav4/2019/vin/JTMF1RFV7KD506533/?radius=25
2023,Toyota,RAV4,Adventure,4dr,SUV,28885.0,24121.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/toyota/rav4/2023/vin/2T3J1RFV3PW374424/?radius=25
2020,Toyota,RAV4,XLE,4dr,SUV,18500.0,47908.0,1,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-11-20,https://www.edmunds.com/toyota/rav4/2020/vin/2T3W1RFV2LC049541/?radius=25
