Year,Make,Model,Trim,Doors,Type,price,Mileage,Accidents,Owners,Usage,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Certified Pre-Owned,Listed since,car_url
2011,Honda,CR-V,SE,4dr,SUV,7999.0,145689.0,0,3,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2011/vin/5J6RE4H47BL021818/?radius=25
2019,Honda,CR-V,EX,4dr,SUV,21794.0,35929.0,0,2,Personal use,Clean Title,No,No,No,No,Yes,2024-04-06,https://www.edmunds.com/honda/cr-v/2019/vin/5J6RW2H59KL010829/?radius=25
2016,Honda,CR-V,LX,4dr,SUV,9760.0,179513.0,0,2,Personal use,Clean Title,No,No,No,No,No,2024-03-06,https://www.edmunds.com/honda/cr-v/2016/vin/5J6RM4H38GL071290/?radius=25
2020,Honda,CR-V,LX,4dr,SUV,18700.0,42227.0,0,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/honda/cr-v/2020/vin/5J6RW2H23LL014026/?radius=25
2018,Honda,CR-V,Touring,4dr,SUV,22998.0,34385.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-02-15,https://www.edmunds.com/honda/cr-v/2018/vin/7FARW2H95JE070699/?radius=25
2010,Honda,CR-V,LX,4dr,SUV,6799.0,118443.0,2,2,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2010/vin/JHLRE4H3XAC001948/?radius=25
2020,Honda,CR-V,EX-L,4dr,SUV,20595.0,60442.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-01-05,https://www.edmunds.com/honda/cr-v/2020/vin/2HKRW2H8XLH675311/?radius=25
2019,Honda,CR-V,EX-L,4dr,SUV,18488.0,82613.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-05,https://www.edmunds.com/honda/cr-v/2019/vin/5J6RW2H80KL006257/?radius=25
2016,Honda,CR-V,EX-L,4dr,SUV,11799.0,165142.0,0,2,Personal use,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2016/vin/2HKRM4H7XGH634496/?radius=25
2014,Honda,CR-V,EX,4dr,SUV,8799.0,179914.0,0,2,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2014/vin/2HKRM4H50EH710240/?radius=25
2021,Honda,CR-V,EX-L,4dr,SUV,26500.0,15019.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-03-23,https://www.edmunds.com/honda/cr-v/2021/vin/5J6RW2H80MA012719/?radius=25
2016,Honda,CR-V,EX,4dr,SUV,13995.0,100872.0,0,2,Personal use,Clean Title,No,No,No,No,No,2024-03-17,https://www.edmunds.com/honda/cr-v/2016/vin/2HKRM4H57GH615628/?radius=25
2015,Honda,CR-V,Touring,4dr,SUV,15807.0,85635.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-02-03,https://www.edmunds.com/honda/cr-v/2015/vin/5J6RM4H99FL099151/?radius=25
2019,Honda,CR-V,Touring,4dr,SUV,25106.0,31029.0,2,1,Personal use,Clean Title,No,No,No,No,Yes,2024-01-22,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW2H91KH632273/?radius=25
2020,Honda,CR-V,EX-L,4dr,SUV,22990.0,21210.0,1,1,Personal use,Clean Title,No,No,No,No,No,2023-08-12,https://www.edmunds.com/honda/cr-v/2020/vin/2HKRW2H89LH659374/?radius=25
2020,Honda,CR-V,LX,4dr,SUV,19905.0,46639.0,0,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2024-04-05,https://www.edmunds.com/honda/cr-v/2020/vin/5J6RW1H26LL010711/?radius=25
2020,Honda,CR-V,EX-L,4dr,SUV,21995.0,33322.0,1,1,Personal use,Clean Title,No,No,No,No,No,2023-10-18,https://www.edmunds.com/honda/cr-v/2020/vin/5J6RW2H8XLA017568/?radius=25
2020,Honda,CR-V,LX,4dr,SUV,18863.0,45101.0,0,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2024-01-25,https://www.edmunds.com/honda/cr-v/2020/vin/5J6RW2H2XLL007607/?radius=25
